Search Term,Parent Name,UEI,Main Parent Name,Match Score
21st Century Aerospace Technology (21AT),21ST CENTURY FLOORCOVERING,EQK4HJSLN9T1,21STCENTURY,82
21st Century Aerospace Technology (21AT),21ST CENTURY PRODUCTS,J7W9NEMF4JK3,21STCENTURY,82
21st Century Aerospace Technology (21AT),21ST CENTURY FOAM,D5J6G7TB82S5,21STCENTURY,82
21st Century Aerospace Technology (21AT),"21ST CENTURY CONSULTING, LLC",ZGUWC2LMJNP3,21STCENTURY,82
21st Century Aerospace Technology (21AT),21ST CENTURY EQUIPMENT  LLC,GCQ1MSKDHCB5,21STCENTURY,82
3D Glass Solutions,"3D GLASS SOLUTIONS, INC.",H7NDSKWG7KH7,3DGLASS,77
3D Glass Solutions,3D GLOBAL SOLUTIONS INCORPORATED,JRBKAPP1TM69,3DGLOBAL,56
3D Glass Solutions,3D AERIAL SOLUTIONS LLC,VJ8HRW3VD313,3DAERIAL,34
3D Glass Solutions,"3D ENGINEERING SOLUTIONS, LLC",ZJALSUTMMVS8,3DENGINEERING,32
3D Glass Solutions,"STRATEGIC 3D SOLUTIONS, INC",JG9WY8Z1PBG1,STRATEGIC3D,24
3D Glass Solutions,"SUPERIOR 3D SOLUTIONS, LLC",L9BFC6F6KKN8,SUPERIOR3D,38
3D Glass Solutions,SOUTHWEST 3D SOLUTIONS LLC,QEAWGAVTJ8L1,SOUTHWEST3D,45
3D Glass Solutions,MID-WEST 3D SOLUTIONS LLC,GH9GSCDVSPJ8,MID-WEST3D,29
3D Glass Solutions,"MID-WEST 3D SOLUTIONS, LLC",RBYFTE7RCNL3,MID-WEST3D,29
3D Glass Solutions,3D NV,GWDWA5KEY129,3DNV,45
3D Glass Solutions,3D HYBRID,E3ALTMK4W1L8,3DHYBRID,23
3D Glass Solutions,3D INFOTECH,NYNMMC4KKPZ5,3DINFOTECH,29
Aerojet Rocketdyne,AEROJET ROCKETDYNE INC,SELSFJKVYW61,AEROJETROCKETDYNE,97
Aerojet Rocketdyne,"AEROJET ROCKETDYNE, INC.",MJLVU5WMX9M9,"AEROJETROCKETDYNE,",97
Aerojet Rocketdyne,"AEROJET ROCKETDYNE HOLDINGS, INC.",F8F5V4MJ2KX2,AEROJETROCKETDYNE,97
Aerojet Rocketdyne,AEROJET ROCKETDYNE COLEMAN AEROSPACE INC,H6GGLSFCL9G5,AEROJETROCKETDYNE,97
Aerojet Rocketdyne,AEROJET ELECTRO SYSTEMS,UYFFKCFH3MP3,AEROJETELECTRO,56
